2 opphøyd i    1 er 2
2 opphøyd i    2 er 4
2 opphøyd i    3 er 8
2 opphøyd i    4 er 16
2 opphøyd i    5 er 32
2 opphøyd i    6 er 64
2 opphøyd i    7 er 128
2 opphøyd i    8 er 256
2 opphøyd i    9 er 512
2 opphøyd i   10 er 1024
2 opphøyd i   11 er 2048
2 opphøyd i   12 er 4096
2 opphøyd i   13 er 8192
2 opphøyd i   14 er 16384
2 opphøyd i   15 er 32768
2 opphøyd i   16 er 65536
2 opphøyd i   17 er 131072
2 opphøyd i   18 er 262144
2 opphøyd i   19 er 524288
2 opphøyd i   20 er 1048576
2 opphøyd i   21 er 2097152
2 opphøyd i   22 er 4194304
2 opphøyd i   23 er 8388608
2 opphøyd i   24 er 16777216
2 opphøyd i   25 er 33554432
2 opphøyd i   26 er 67108864
2 opphøyd i   27 er 134217728
2 opphøyd i   28 er 268435456
2 opphøyd i   29 er 536870912
2 opphøyd i   30 er 1073741824
